11/11/2021 19:35:05.999;11/11/2021 19:35:06.999;11/11/2021 19:35:07.999;11/11/2021 19:35:08.999;11/11/2021 19:35:09.999
-0.218692;-0.209717;-0.209653;-0.209583;-0.209820
-0.209662;-0.200711;-0.200634;-0.200537;-0.200782
-0.200629;-0.191935;-0.191822;-0.191778;-0.191885
-0.191674;-0.183018;-0.182912;-0.182879;-0.183015
-0.182849;-0.173925;-0.173880;-0.173782;-0.173863
-0.173795;-0.164832;-0.164788;-0.164778;-0.164772
-0.164773;-0.155736;-0.155740;-0.155680;-0.155636
-0.155610;-0.146893;-0.146902;-0.146804;-0.146738
-0.146641;-0.137930;-0.137962;-0.137854;-0.137815
-0.137788;-0.128827;-0.128866;-0.128756;-0.128684
-0.128678;-0.119710;-0.119714;-0.119659;-0.119592
-0.119603;-0.110623;-0.110593;-0.110478;-0.110415
-0.110389;-0.101753;-0.101715;-0.101633;-0.101581
-0.101418;-0.092789;-0.092684;-0.092629;-0.092636
-0.092487;-0.083647;-0.083518;-0.083523;-0.083493
-0.083406;-0.074519;-0.074352;-0.074422;-0.074415
-0.074328;-0.065383;-0.065237;-0.065293;-0.065221
-0.065130;-0.056477;-0.056342;-0.056455;-0.056374
-0.056161;-0.047501;-0.047431;-0.047486;-0.047411
-0.047272;-0.038377;-0.038379;-0.038480;-0.038300
-0.038285;-0.029219;-0.029286;-0.029334;-0.029258
-0.029202;-0.020078;-0.020264;-0.020242;-0.020088
-0.020095;-0.011181;-0.011386;-0.011361;-0.011226
-0.011107;-0.002118;-0.002394;-0.002319;-0.002178
-0.002189;0.007081;0.006769;0.006834;0.006951
0.006863;0.016329;0.015987;0.016088;0.016178
0.016092;0.025539;0.025171;0.025300;0.025415
0.025350;0.034518;0.034235;0.034281;0.034364
0.034472;0.043541;0.043272;0.043396;0.043463
0.043416;0.052726;0.052489;0.052576;0.052575
0.052524;0.061889;0.061722;0.061800;0.061828
0.061749;0.070997;0.070858;0.070952;0.070976
0.070919;0.079899;0.079802;0.079907;0.079881
0.079978;0.088865;0.088753;0.088836;0.088890
0.088866;0.098017;0.097902;0.097965;0.097985
0.097930;0.107151;0.107008;0.107102;0.107156
0.107079;0.116237;0.116051;0.116102;0.116214
0.116203;0.125110;0.124955;0.125070;0.125198
0.125257;0.134078;0.133905;0.133970;0.134113
0.134081;0.143163;0.143038;0.143043;0.143181
0.143121;0.152235;0.152134;0.152199;0.152307
0.152186;0.161312;0.161223;0.161228;0.161299
0.161247;0.170107;0.170100;0.170141;0.170166
0.170231;0.179002;0.178993;0.179002;0.178978
0.178989;0.188076;0.188097;0.188121;0.188048
