13/11/2021 19:11:50.999;13/11/2021 19:11:51.099;13/11/2021 19:11:51.199;13/11/2021 19:11:51.299;13/11/2021 19:11:51.399;13/11/2021 19:11:51.499;13/11/2021 19:11:51.599;13/11/2021 19:11:51.699;13/11/2021 19:11:51.799;13/11/2021 19:11:51.899;13/11/2021 19:11:51.999;13/11/2021 19:11:52.099;13/11/2021 19:11:52.199;13/11/2021 19:11:52.299;13/11/2021 19:11:52.399;13/11/2021 19:11:52.499;13/11/2021 19:11:52.599;13/11/2021 19:11:52.699;13/11/2021 19:11:52.799;13/11/2021 19:11:52.899;13/11/2021 19:11:52.999;13/11/2021 19:11:53.099;13/11/2021 19:11:53.199;13/11/2021 19:11:53.299;13/11/2021 19:11:53.399;13/11/2021 19:11:53.499;13/11/2021 19:11:53.599;13/11/2021 19:11:53.699;13/11/2021 19:11:53.799;13/11/2021 19:11:53.899;13/11/2021 19:11:53.999;13/11/2021 19:11:54.099;13/11/2021 19:11:54.199;13/11/2021 19:11:54.299;13/11/2021 19:11:54.399;13/11/2021 19:11:54.499;13/11/2021 19:11:54.599;13/11/2021 19:11:54.699;13/11/2021 19:11:54.799;13/11/2021 19:11:54.899;13/11/2021 19:11:54.999;13/11/2021 19:11:55.099;13/11/2021 19:11:55.199;13/11/2021 19:11:55.299;13/11/2021 19:11:55.399;13/11/2021 19:11:55.499;13/11/2021 19:11:55.599;13/11/2021 19:11:55.699;13/11/2021 19:11:55.799;13/11/2021 19:11:55.899
32.101432;32.094853;32.112711;32.097376;32.104796;32.093121;32.108506;32.103559;32.091588;32.101234;32.098316;32.104054;32.098217;32.105687;32.100690;32.107319;32.096782;32.098860;32.092478;32.097574;32.100839;32.100047;32.092676;32.102718;32.097030;32.104549;32.104153;32.102422;32.104846;32.092924;32.103065;32.099750;32.092083;32.098167;32.106923;32.102174;32.099454;32.096634;32.095694;32.096485;32.100146;32.103807;32.088125;32.108655;32.109941;32.099998;32.109199;32.106627;32.099454;32.097821
32.831503;32.824923;32.842238;32.827050;32.836747;32.825022;32.840655;32.833482;32.823687;32.830365;32.826308;32.834471;32.825616;32.837093;32.833482;32.838428;32.824577;32.829969;32.823884;32.830612;32.833135;32.832888;32.825369;32.833135;32.828535;32.836103;32.836747;32.831898;32.836549;32.824330;32.833135;32.828584;32.824231;32.831206;32.839368;32.833432;32.830315;32.825764;32.824429;32.827545;32.830068;32.834520;32.816909;32.839171;32.836895;32.827496;32.834867;32.836054;32.831404;32.831156
33.552619;33.549997;33.565036;33.550393;33.561177;33.550888;33.562909;33.558556;33.548513;33.552125;33.549799;33.557418;33.552817;33.561079;33.559298;33.560485;33.548810;33.552322;33.550443;33.551086;33.557418;33.559693;33.549404;33.558704;33.552768;33.562216;33.560336;33.554746;33.560089;33.549008;33.557368;33.554054;33.549997;33.557814;33.563799;33.556725;33.552966;33.549057;33.552223;33.553312;33.558506;33.562266;33.543764;33.563898;33.561326;33.550542;33.556676;33.563503;33.558506;33.558011
34.264287;34.264139;34.276308;34.263298;34.273637;34.266315;34.272895;34.268739;34.262704;34.266662;34.261566;34.270322;34.268937;34.276061;34.273389;34.274972;34.263446;34.266958;34.264188;34.266117;34.271114;34.273637;34.266414;34.271905;34.267651;34.278831;34.273835;34.268492;34.273934;34.265079;34.271262;34.267057;34.265177;34.272400;34.275813;34.271114;34.265722;34.260824;34.266662;34.265672;34.272548;34.275418;34.256867;34.277100;34.271905;34.262852;34.267948;34.278633;34.274082;34.273934
34.986888;34.988223;34.996781;34.985700;34.997276;34.990004;34.992329;34.988965;34.983425;34.985799;34.980951;34.990697;34.989213;34.994951;34.993170;34.991933;34.982237;34.985156;34.984612;34.985502;34.990252;34.994209;34.986343;34.990944;34.986492;34.997969;34.994209;34.987135;34.992428;34.986393;34.989163;34.984464;34.985799;34.992626;34.994209;34.989213;34.981446;34.977835;34.985206;34.983524;34.994555;34.994407;34.977093;34.994061;34.988322;34.979071;34.984464;34.996534;34.992082;34.992082
35.709340;35.712654;35.718739;35.708746;35.721064;35.714633;35.716612;35.712456;35.710478;35.709389;35.705630;35.715227;35.712011;35.719036;35.716958;35.716661;35.705432;35.708993;35.710280;35.708697;35.712951;35.720174;35.709983;35.716265;35.711269;35.721163;35.718442;35.710082;35.714831;35.711269;35.712951;35.706965;35.710972;35.715474;35.714584;35.712160;35.703502;35.700188;35.709983;35.704986;35.719085;35.718739;35.702068;35.714781;35.709290;35.701969;35.705976;35.721460;35.716859;35.716463
36.435453;36.439509;36.442824;36.434513;36.446633;36.440597;36.438866;36.435502;36.437234;36.432435;36.430852;36.438322;36.435205;36.444060;36.441834;36.439014;36.431792;36.433969;36.434859;36.434265;36.435453;36.444407;36.434859;36.440499;36.435205;36.447820;36.442725;36.435601;36.437926;36.439064;36.438075;36.431396;36.437827;36.440301;36.438569;36.436393;36.426944;36.424223;36.434265;36.429170;36.445544;36.441983;36.428329;36.437283;36.431643;36.426053;36.429615;36.445347;36.440499;36.438767
37.151029;37.156619;37.157163;37.150385;37.163792;37.156173;37.152612;37.150633;37.155827;37.151968;37.146923;37.153947;37.150583;37.159735;37.158449;37.155431;37.149990;37.149495;37.151177;37.152859;37.150831;37.162209;37.153650;37.155233;37.152117;37.164237;37.157608;37.151127;37.154986;37.157262;37.156124;37.147269;37.157707;37.157361;37.154689;37.153947;37.142619;37.142025;37.152117;37.145438;37.165523;37.160626;37.149891;37.152661;37.150534;37.144301;37.149347;37.164682;37.157806;37.158498
37.857403;37.862251;37.861361;37.853792;37.867594;37.859976;37.855672;37.855128;37.862004;37.860668;37.853495;37.857898;37.855276;37.864329;37.863686;37.860124;37.853990;37.856117;37.857453;37.858145;37.854831;37.866011;37.859976;37.862350;37.855523;37.870315;37.864131;37.858937;37.860569;37.864774;37.861608;37.852555;37.863438;37.861460;37.859085;37.856414;37.846668;37.849142;37.857403;37.851467;37.871997;37.865665;37.856661;37.856562;37.854930;37.851022;37.854484;37.870364;37.864230;37.862053
38.573276;38.576887;38.575304;38.568873;38.583071;38.574513;38.569021;38.569170;38.577382;38.574908;38.567587;38.570308;38.566894;38.575354;38.574364;38.571396;38.568873;38.570407;38.571841;38.568923;38.566499;38.576046;38.572880;38.574166;38.567686;38.580944;38.574315;38.569368;38.572188;38.576640;38.574661;38.564767;38.574760;38.571099;38.570308;38.568082;38.557248;38.560265;38.569566;38.562640;38.582922;38.576937;38.571099;38.566202;38.565608;38.563234;38.564124;38.579014;38.574265;38.571643
39.289940;39.292117;39.290336;39.283558;39.299834;39.288159;39.285785;39.285488;39.294343;39.289841;39.286873;39.287170;39.282619;39.290435;39.290039;39.290484;39.288308;39.289099;39.287813;39.287318;39.283509;39.291028;39.289247;39.288555;39.282866;39.296025;39.291721;39.284944;39.291375;39.291820;39.292414;39.281629;39.291770;39.288357;39.286081;39.285686;39.272279;39.277276;39.283707;39.279354;39.297459;39.290831;39.289445;39.279848;39.282866;39.279601;39.282322;39.294689;39.289495;39.287813
40.008039;40.008929;40.007099;39.999876;40.014717;40.004180;40.002053;40.003092;40.008880;40.005565;40.002894;40.002449;39.997848;40.006555;40.003686;40.005912;40.004576;40.004428;40.005466;40.003389;39.999035;40.003982;40.003092;40.006456;39.998590;40.011403;40.004527;40.001707;40.006505;40.007693;40.009028;39.996611;40.007346;40.002548;40.003933;40.000965;39.990279;39.996611;39.999184;39.995919;40.012491;40.007989;40.006951;39.995523;39.999431;39.998739;39.999975;40.009474;40.003191;40.002004
40.715848;40.714908;40.714265;40.706944;40.723318;40.710060;40.708180;40.711247;40.717283;40.716541;40.712484;40.711297;40.706597;40.714809;40.712732;40.716293;40.715502;40.713919;40.714809;40.709813;40.710505;40.711050;40.714611;40.716640;40.706894;40.717184;40.712979;40.710555;40.717876;40.716788;40.716541;40.706399;40.715452;40.712633;40.714265;40.709813;40.700908;40.706300;40.709021;40.704816;40.721834;40.717134;40.717777;40.702541;40.709318;40.710357;40.711940;40.718173;40.712138;40.713474
41.415841;41.412180;41.413219;41.404661;41.419353;41.408371;41.407481;41.410696;41.411735;41.415297;41.410795;41.409262;41.403474;41.413021;41.410498;41.413467;41.414654;41.411834;41.414456;41.408866;41.407877;41.407184;41.413170;41.414159;41.406541;41.413961;41.410350;41.410449;41.417919;41.412774;41.415050;41.408272;41.411537;41.412131;41.414456;41.409460;41.402039;41.408124;41.405749;41.405650;41.418611;41.415841;41.416682;41.401000;41.407926;41.408717;41.411537;41.415891;41.408816;41.411290
42.121622;42.117813;42.119050;42.109304;42.125134;42.113311;42.114053;42.117516;42.114548;42.121276;42.116824;42.116922;42.109255;42.118357;42.113608;42.116774;42.118802;42.115240;42.116279;42.114103;42.113113;42.108018;42.115587;42.119940;42.107276;42.114944;42.112322;42.112915;42.122265;42.114053;42.117021;42.111827;42.112074;42.112767;42.116675;42.110541;42.107474;42.113559;42.108908;42.108760;42.119198;42.118852;42.118901;42.103813;42.111382;42.112371;42.115488;42.117714;42.111580;42.114053
42.831410;42.824633;42.826414;42.817361;42.830322;42.820082;42.820922;42.826463;42.820725;42.825919;42.824880;42.823990;42.817212;42.826067;42.823693;42.824682;42.828442;42.821714;42.823792;42.821269;42.822357;42.816915;42.822159;42.828244;42.815135;42.821665;42.820032;42.822555;42.830965;42.821566;42.822703;42.822011;42.819488;42.822852;42.825028;42.818845;42.818103;42.821368;42.816470;42.816619;42.824484;42.825127;42.825622;42.810682;42.818251;42.818350;42.822407;42.823841;42.818845;42.822011
43.540060;43.533382;43.536647;43.526407;43.537636;43.528286;43.530908;43.536548;43.527149;43.536103;43.533233;43.533085;43.525714;43.532343;43.532096;43.531700;43.535113;43.528138;43.532293;43.528930;43.531057;43.524477;43.529771;43.535558;43.523389;43.528633;43.528188;43.528979;43.540852;43.527544;43.528089;43.530315;43.525120;43.533233;43.533580;43.529968;43.529869;43.531057;43.525615;43.525862;43.530513;43.533827;43.532640;43.521460;43.528534;43.524873;43.530661;43.531255;43.526308;43.532195
44.237728;44.231297;44.235106;44.223530;44.234958;44.226894;44.230506;44.237283;44.223283;44.236195;44.232039;44.233424;44.228131;44.233078;44.231940;44.231544;44.234809;44.229071;44.231495;44.231446;44.230951;44.226152;44.229467;44.237778;44.225113;44.227092;44.227340;44.233375;44.242378;44.228725;44.228329;44.232583;44.223679;44.235453;44.232880;44.229467;44.233573;44.233721;44.226350;44.227587;44.230258;44.235156;44.232930;44.224421;44.230258;44.225460;44.234018;44.232039;44.229912;44.236392
